net,length_um
_191_,184.6
net4,166.08
net39,165.53
_194_,161.59
_189_,135.24
net3,131.085
net12,125.56
net8,122.535
_227_,119.8
_200_,112.92
_192_,109.18
_231_,106.44
_228_,93
_016_,91.98
net14,91.96
net7,91.72
net23,91.34
clknet_1_1__leaf_clk,90.14
net11,87.86
_195_,86.685
net17,85.98
clknet_1_0__leaf_clk,83.64
net18,79.22
_230_,77.6
_196_,77.56
_030_,76.56
_197_,73.36
_193_,72.08
net20,67.98
net5,67.82
_159_,66.49
net10,64.7
net19,62.64
_020_,52.06
net32,51.24
net2,49
net9,47.64
net13,47.5
net22,46.26
_174_,46.04
_233_,45.86
clk,45.34
_229_,44.18
_098_,43
_151_,40.94
_179_,40.68
_100_,39.44
_123_,38.94
_149_,33.86
net21,33.46
net15,32.06
net34,30.5
net6,30.48
_126_,28.94
_049_,27.94
net16,27.86
clknet_0_clk,27.4
net1,26.76
_212_,25.96
_024_,24.795
_072_,24.04
_190_,23.42
net31,22.72
_131_,21.66
_080_,20.84
_206_,20.84
_142_,20.54
threshold[3],20.54
net35,20.5
net33,20.4
_222_,19.76
_173_,19.74
_058_,19.1
_025_,19.08
_128_,18.5
_237_,18.21
_070_,18.02
_166_,17.72
_171_,17.48
_077_,16.8
_236_,16.8
_198_,16.66
_090_,16.64
net30,16.64
_178_,16.48
_060_,16.34
net26,16.14
_092_,15.94
net29,15.94
scale[1],15.28
_067_,15.18
_022_,15.14
_028_,15.02
_056_,14.98
_129_,14.86
_108_,14.84
_050_,14.82
_015_,14.72
_157_,14.54
_111_,14.475
_045_,14.16
_085_,14.08
_101_,13.82
_140_,13.82
_054_,13.78
_071_,13.66
scale[2],13.64
_120_,13.42
net25,13.42
_078_,13.34
_038_,13.26
_104_,13.12
data_in[6],12.86
_177_,12.84
_088_,12.82
_137_,12.76
net37,12.76
_102_,12.66
_053_,12.6
_066_,12.58
_150_,12.5
_203_,12.24
_130_,12.1
_180_,12.1
_138_,11.96
threshold[1],11.92
_062_,11.84
_075_,11.82
net27,11.82
_091_,11.8
_121_,11.66
_127_,11.66
_068_,11.62
_163_,11.52
round_mode,11.45
_103_,11.38
_082_,11.36
_086_,11.34
_116_,11.34
data_in[2],11.34
data_in[4],11.34
threshold[5],11.34
_133_,11.3
_169_,11.3
sideband_out[2],11.26
_074_,11.22
_181_,11.08
_073_,10.96
_152_,10.96
net36,10.96
data_in[3],10.88
_052_,10.74
_069_,10.72
_084_,10.64
_096_,10.64
_044_,10.6
threshold[6],10.56
_031_,10.42
data_in[5],10.42
threshold[4],10.42
_161_,10.24
_115_,10.22
_051_,9.96
int4_out[2],9.86
_217_,9.71
_019_,9.68
_026_,9.62
_094_,9.62
_144_,9.62
_036_,9.58
_039_,9.52
_076_,9.48
_107_,9.46
sideband_out[3],9.4
_106_,9.36
_083_,9.34
_201_,9.26
_119_,9.12
_134_,9.08
_141_,9.06
valid_in,9.05
_208_,9.04
_238_,8.92
_170_,8.88
data_in[7],8.72
_055_,8.62
sideband_out[6],8.5
_032_,8.36
_095_,8.36
scale[3],8.35
net45,8.32
net28,8.2
_148_,8.04
threshold[2],8.03
_164_,8.02
_235_,7.94
net38,7.9
_093_,7.62
sideband_out[0],7.58
sideband_out[5],7.58
_167_,7.52
_146_,7.5
_113_,7.44
threshold[0],7.37
_109_,7.34
_037_,7.32
_105_,7.04
_124_,6.96
_081_,6.74
_224_,6.72
scale[0],6.67
valid_out,6.67
_136_,6.66
net48,6.64
_139_,6.62
_079_,6.6
_087_,6.6
_199_,6.54
_214_,6.42
_057_,6.4
_143_,6.2
_147_,6.18
net44,6.18
rst_n,6.11
_220_,6.06
data_in[1],5.97
_034_,5.94
_158_,5.94
_168_,5.92
_175_,5.86
_183_,5.86
_160_,5.82
_172_,5.82
int4_out[1],5.77
int4_out[0],5.75
sideband_out[7],5.63
_145_,5.62
_211_,5.6
_033_,5.56
_063_,5.48
int4_out[3],5.41
sideband_out[4],5.41
_234_,5.38
net46,5.38
_004_,5.34
_221_,5.26
_225_,5.22
is_outlier,5.07
sideband_out[1],5.07
_042_,5.02
_011_,5
_029_,4.935
_009_,4.92
_185_,4.88
_018_,4.8
_204_,4.8
net47,4.8
threshold[7],4.61
_017_,4.54
_003_,4.46
_041_,4.36
_064_,4.34
_112_,4.34
_122_,4.34
data_in[0],4.27
_097_,4.24
_023_,4.14
_118_,4.02
_012_,4
_059_,4
_218_,4
_223_,4
_021_,3.98
_110_,3.88
net43,3.68
_219_,3.66
_089_,3.64
_215_,3.64
_002_,3.54
_046_,3.54
_061_,3.54
_154_,3.54
net24,3.54
_040_,3.42
_099_,3.42
_207_,3.22
_001_,3.2
_014_,3.2
_047_,3.08
_132_,2.96
_176_,2.96
_226_,2.96
_005_,2.84
_010_,2.84
_065_,2.84
_232_,2.76
_000_,2.74
_209_,2.74
_162_,2.64
_006_,2.62
_035_,2.62
_156_,2.5
_114_,2.3
_216_,2.3
_008_,2.28
_155_,2.16
_187_,2.16
_213_,2.16
_117_,2.06
_043_,2.04
_205_,2.04
net51,1.915
_013_,1.84
net49,1.84
net50,1.84
_007_,1.82
_135_,1.72
_153_,1.7
_186_,1.7
_202_,1.7
net42,1.7
_027_,1.38
_165_,1.38
_188_,1.38
net40,1.38
_125_,1.26
_182_,0.92
_184_,0.92
_210_,0.92
_048_,0.8
net41,0.46
