net,length_um
_0355_,10.64
_0169_,10.58
_0285_,10.56
_0373_,10.54
_0410_,10.54
_0547_,10.54
_0213_,10.53
_0257_,10.5
_0376_,10.5
_0306_,10.42
_0689_,10.42
data_in[11],10.42
data_in[12],10.42
data_in[13],10.42
scale[4],10.42
_0464_,10.4
_0440_,10.38
_0503_,10.375
_0139_,10.32
_0184_,10.32
_0187_,10.3
_0534_,10.28
_0577_,10.28
_0668_,10.26
_0076_,10.18
_0742_,10.18
_0151_,10.16
_0671_,10.16
_0153_,10.1
_0087_,10.08
_0426_,10.06
_0009_,10.04
_0592_,10.04
_0029_,9.96
_0109_,9.96
_0160_,9.96
_0389_,9.96
_0594_,9.96
_0011_,9.94
_0270_,9.94
_0545_,9.94
_0473_,9.88
data_out[1],9.86
_0038_,9.84
_0396_,9.825
_0067_,9.82
_0215_,9.78
_0639_,9.76
_0156_,9.72
_0655_,9.68
_0303_,9.64
_0262_,9.62
_0300_,9.62
_0329_,9.62
_0267_,9.61
_0539_,9.58
_0347_,9.54
net83,9.54
_0189_,9.48
_0230_,9.44
_0321_,9.435
_0388_,9.42
_0814_,9.42
_0513_,9.4
_0222_,9.36
_0666_,9.36
_0701_,9.36
_0562_,9.355
_0092_,9.34
net63,9.28
net82,9.28
_0567_,9.26
_0613_,9.255
_0254_,9.2
_0760_,9.2
_0346_,9.1
_0578_,9.08
_0060_,9.06
_0031_,9.04
_0037_,9.04
_0053_,9.02
_0482_,9.02
net48,9.02
_0336_,9
_0520_,9
data_out[5],8.96
_0603_,8.94
net61,8.94
_0491_,8.93
_0070_,8.92
_0118_,8.92
_0340_,8.92
_0244_,8.9
_0317_,8.9
_0643_,8.9
_0754_,8.9
_0662_,8.88
_0171_,8.86
net70,8.86
_0219_,8.84
data_in[1],8.84
_0256_,8.8
_0722_,8.8
_0543_,8.78
_0623_,8.78
_0705_,8.78
_0079_,8.76
round_mode,8.72
scale[6],8.72
_0383_,8.7
net86,8.7
_0078_,8.68
_0166_,8.66
_0140_,8.48
_0495_,8.48
_0529_,8.48
_0281_,8.465
_0117_,8.46
_0453_,8.46
_0502_,8.46
_0186_,8.44
_0435_,8.44
_0460_,8.44
_0312_,8.4
_0737_,8.4
overflow,8.38
_0298_,8.36
_0631_,8.34
_0693_,8.34
_0808_,8.34
_0816_,8.34
net38,8.34
_0120_,8.3
_0350_,8.3
_0800_,8.295
_0055_,8.24
_0537_,8.2
_0587_,8.2
_0548_,8.15
net57,8.14
_0147_,8.12
_0157_,8.12
_0602_,8.12
_0807_,8.12
_0615_,8.1
_0669_,8.1
_0449_,8.08
_0703_,8.07
net80,8.04
net53,8.035
_0563_,8.02
_0616_,8
_0330_,7.98
_0612_,7.98
_0155_,7.9
_0525_,7.9
_0648_,7.9
_0299_,7.88
_0420_,7.86
_0805_,7.84
_0506_,7.82
net69,7.8
_0488_,7.78
_0103_,7.76
_0677_,7.74
_0794_,7.68
_0090_,7.66
_0419_,7.66
_0021_,7.655
_0395_,7.65
_0268_,7.64
_0208_,7.6
_0627_,7.6
_0049_,7.59
data_out[3],7.58
_0759_,7.56
_0783_,7.54
_0658_,7.5
_0788_,7.5
_0499_,7.48
_0582_,7.44
net88,7.44
_0028_,7.43
_0052_,7.4
_0221_,7.4
_0428_,7.4
_0598_,7.4
_0634_,7.34
_0349_,7.32
_0394_,7.32
_0530_,7.32
_0723_,7.32
_0581_,7.24
_0250_,7.23
_0458_,7.23
_0302_,7.22
_0033_,7.18
_0494_,7.18
_0583_,7.15
_0264_,7.1
_0425_,7.08
_0776_,7.08
_0527_,7.06
_0540_,7.005
_0629_,7
_0064_,6.98
_0476_,6.98
_0438_,6.94
_0442_,6.94
_0601_,6.94
_0081_,6.88
_0361_,6.86
_0584_,6.86
_0676_,6.86
_0681_,6.86
_0493_,6.84
_0294_,6.82
_0393_,6.82
data_in[5],6.77
_0249_,6.74
_0335_,6.74
_0342_,6.74
_0549_,6.74
_0174_,6.72
_0486_,6.72
_0558_,6.72
_0224_,6.715
_0405_,6.715
_0123_,6.64
_0773_,6.64
_0498_,6.6
_0718_,6.6
_0817_,6.6
net52,6.6
_0339_,6.54
_0806_,6.54
_0260_,6.52
_0282_,6.52
_0328_,6.52
_0679_,6.52
_0682_,6.5
_0097_,6.485
_0664_,6.48
_0124_,6.44
_0790_,6.44
_0082_,6.42
_0172_,6.4
_0276_,6.4
_0479_,6.36
_0397_,6.32
_0143_,6.28
_0509_,6.28
net42,6.28
_0158_,6.26
_0717_,6.26
_0063_,6.18
_0362_,6.18
_0565_,6.18
_0635_,6.18
_0014_,6.14
_0096_,6.14
_0259_,6.08
_0667_,6.08
_0165_,6.075
_0220_,6.075
_0481_,6.06
_0692_,6.06
data_in[2],5.97
data_in[9],5.97
scale[0],5.97
_0036_,5.96
_0761_,5.96
_0027_,5.94
_0034_,5.94
_0042_,5.91
_0050_,5.84
net49,5.84
_0289_,5.82
_0568_,5.82
_0799_,5.8
_0809_,5.8
_0337_,5.72
_0586_,5.72
_0779_,5.72
_0269_,5.68
data_in[3],5.63
data_in[6],5.63
data_out[2],5.63
scale[2],5.63
_0451_,5.6
_0672_,5.6
_0403_,5.58
_0561_,5.52
_0310_,5.48
_0526_,5.48
_0597_,5.48
rst_n,5.41
_0789_,5.4
_0341_,5.38
_0706_,5.38
_0242_,5.36
_0571_,5.36
_0480_,5.34
_0796_,5.34
data_in[0],5.29
_0068_,5.28
_0086_,5.28
_0647_,5.28
_0757_,5.28
_0812_,5.28
net65,5.28
_0085_,5.26
_0272_,5.26
_0159_,5.25
_0749_,5.24
_0625_,5.16
_0288_,5.14
_0320_,5.14
_0570_,5.14
data_out[4],5.07
valid_out,5.07
_0443_,5.06
_0006_,5.02
_0538_,5.02
_0680_,5.02
_0004_,5
_0732_,5
data_in[10],4.95
_0338_,4.92
_0542_,4.92
_0637_,4.92
_0739_,4.92
_0793_,4.92
_0721_,4.9
_0018_,4.88
_0137_,4.88
_0353_,4.88
_0369_,4.88
_0521_,4.88
_0559_,4.88
_0784_,4.88
_0815_,4.88
_0673_,4.82
_0066_,4.8
_0516_,4.8
_0056_,4.78
_0714_,4.735
scale[7],4.73
_0142_,4.7
_0781_,4.7
_0777_,4.6
_0164_,4.56
_0191_,4.46
_0041_,4.44
_0710_,4.44
net74,4.44
_0711_,4.42
_0758_,4.42
data_out[7],4.39
_0628_,4.36
net55,4.36
net87,4.36
_0069_,4.34
_0324_,4.34
_0448_,4.34
_0663_,4.34
_0292_,4.28
data_in[8],4.27
_0003_,4.16
_0054_,4.14
_0604_,4.12
_0007_,4.02
_0163_,4.02
_0474_,4.02
_0015_,4
_0368_,4
_0470_,4
_0619_,4
_0532_,3.9
_0175_,3.88
_0411_,3.88
_0651_,3.88
_0785_,3.88
_0810_,3.88
net62,3.88
_0382_,3.76
net84,3.68
_0683_,3.635
_0146_,3.54
_0608_,3.54
_0626_,3.54
_0351_,3.47
_0278_,3.44
_0040_,3.42
_0305_,3.42
_0430_,3.42
_0008_,3.385
_0013_,3.3
_0452_,3.18
_0051_,3.1
_0596_,3.1
_0002_,3.08
_0194_,3.08
_0311_,3.08
_0384_,3.08
_0687_,3.08
_0780_,3.08
_0546_,3.01
_0059_,2.98
_0600_,2.96
_0665_,2.96
_0694_,2.96
net56,2.96
net81,2.96
_0802_,2.86
net76,2.76
_0204_,2.72
_0005_,2.64
_0377_,2.64
_0047_,2.62
_0057_,2.62
_0740_,2.62
_0791_,2.62
_0700_,2.52
_0778_,2.52
_0360_,2.5
_0555_,2.5
_0697_,2.5
_0764_,2.5
net79,2.38
_0075_,2.3
net77,2.3
_0729_,2.28
_0000_,2.18
_0091_,2.18
_0138_,2.18
_0226_,2.18
_0266_,2.18
_0585_,2.18
_0168_,2.16
_0363_,2.16
_0564_,2.16
_0659_,2.16
_0685_,2.16
_0719_,2.16
_0762_,2.16
_0797_,2.16
_0001_,2.04
_0431_,2.04
_0487_,2.04
_0574_,2.04
_0738_,2.04
_0795_,2.04
_0803_,2.04
_0022_,1.84
net64,1.84
_0074_,1.72
net47,1.72
net59,1.72
_0343_,1.7
_0507_,1.7
_0618_,1.7
_0801_,1.7
_0357_,1.63
_0782_,1.6
_0798_,1.48
_0039_,1.38
_0767_,1.36
net41,1.26
_0280_,1.14
_0775_,1.14
_0786_,1.02
