net,length_um
net27,264.62
net14,246.34
net8,234.71
net6,205.17
net25,199.5
net19,196.6
net34,190.06
net26,184.87
net22,183.84
net21,179.78
net29,172.7
net16,170.26
_0026_,166.28
net18,165.57
net12,160.9
net2,160.14
_0632_,159.31
_0731_,151.91
net5,149.27
_0390_,147.99
net10,147.96
net3,146.96
_0379_,146.72
_0478_,144.035
net1,141.11
net15,139.48
net11,138.195
net7,136.42
_0709_,136.2
_0599_,135.84
net9,135.64
_0621_,129.82
net13,129.29
_0489_,122.57
_0720_,110.83
net28,108.86
net37,107.24
net4,105.47
net20,105.22
net35,105.12
_0043_,104.98
net23,104.3
_0326_,102.12
_0095_,100.64
_0401_,99.855
net30,98.44
_0094_,98.235
net32,97.4
_0044_,97.3
_0610_,95.835
_0533_,95.64
_0522_,95
_0456_,94.86
_0108_,94.35
_0119_,93.195
_0099_,93.095
net24,91.68
_0077_,91.51
_0104_,90.69
net17,84.62
net33,81.04
_0434_,80.745
_0236_,77.62
_0024_,77.4
_0771_,75.54
_0550_,73.84
_0511_,73.4
_0500_,73.34
_0557_,72.61
_0766_,71.68
_0445_,70.965
_0556_,69.86
_0412_,69.72
_0560_,68.46
_0544_,68.26
_0552_,66.92
clk,64.7
_0461_,59.12
_0290_,57.53
_0385_,57
_0462_,56.82
_0061_,56.49
_0111_,56.28
net73,56.24
_0733_,56.055
_0510_,54.44
_0149_,53.86
_0707_,53.84
_0237_,52.82
net75,51.74
_0475_,50.67
net68,50.64
_0010_,50.16
net31,49.96
_0423_,49.92
_0466_,49.68
_0730_,49.66
_0770_,49.46
_0386_,48.66
_0409_,48.66
_0768_,48.38
_0755_,47.82
_0712_,47.36
_0772_,47.02
_0322_,43.32
_0148_,43.28
_0748_,43.16
_0170_,43.11
_0713_,43
_0467_,42.52
_0181_,42.29
_0728_,41.66
_0203_,41.24
clknet_1_0__leaf_clk,41.08
_0465_,41
_0238_,40.02
_0774_,39.48
net71,38.86
_0734_,38.58
net36,38.2
_0128_,37.84
_0112_,37.08
clknet_1_1__leaf_clk,36.92
net43,36.48
_0239_,36.17
_0345_,34.12
_0178_,33.92
_0113_,33.66
_0818_,33.26
_0202_,32.92
_0211_,32.79
_0348_,32.625
_0528_,32.52
_0193_,32.34
_0182_,31.42
_0354_,31.32
_0098_,31.12
_0030_,30.78
_0736_,30.5
_0136_,30.34
_0747_,30.06
_0371_,29.59
_0364_,29.46
_0686_,29.04
_0235_,28.92
_0277_,28.84
_0200_,28.74
_0122_,28.72
_0177_,28.7
_0380_,28.46
_0641_,28.32
_0352_,28.28
_0199_,28.14
clknet_0_clk,28
net39,27.82
_0753_,27.62
_0485_,27.52
_0421_,27.48
_0234_,27.18
net72,26.695
_0735_,26.6
_0640_,26.48
_0365_,26.44
_0437_,26.34
_0274_,26.22
_0444_,26.12
_0622_,26.06
_0105_,25.9
_0492_,25.725
_0477_,25.7
_0819_,25.3
_0161_,25.2
_0699_,25.18
_0344_,25.14
_0283_,25.06
_0246_,25.05
_0404_,24.9
_0702_,24.815
_0765_,24.72
_0576_,24.6
_0126_,24.56
_0025_,24.52
_0589_,24.5
scale[5],24.26
_0454_,24.2
_0695_,24.02
_0447_,23.92
_0391_,23.76
_0192_,23.72
_0590_,23.66
_0100_,23.64
_0726_,23.64
net45,23.58
_0496_,23.48
_0251_,23.46
net85,23.36
_0210_,23.3
_0314_,23.16
_0325_,23.1
_0252_,23.04
_0535_,22.78
_0406_,22.72
_0381_,22.68
_0417_,22.65
_0279_,22.22
_0620_,22.12
_0209_,22.06
_0573_,21.92
_0642_,21.92
_0624_,21.84
_0062_,21.82
_0231_,21.76
_0515_,21.6
_0102_,21.56
_0327_,21.56
_0484_,21.51
_0595_,21.48
_0508_,21.46
_0378_,21.4
_0150_,21.34
_0696_,21.24
_0652_,21.02
_0130_,20.98
_0501_,20.92
_0541_,20.8
_0654_,20.74
_0071_,20.54
_0455_,20.32
_0240_,20.3
_0387_,20.16
_0127_,20.14
_0370_,20.14
_0293_,20.055
_0459_,20.02
_0197_,19.96
_0248_,19.71
_0653_,19.7
net50,19.66
_0483_,19.62
_0579_,19.6
_0183_,19.56
_0135_,19.5
_0287_,19.42
_0212_,19.38
_0374_,19.38
_0225_,19.37
net44,19.2
_0418_,19.14
_0575_,19.14
_0399_,19.12
_0334_,19.08
_0630_,19.08
_0245_,18.82
_0402_,18.8
_0375_,18.74
_0275_,18.72
_0512_,18.72
_0593_,18.62
_0286_,18.6
_0472_,18.52
_0536_,18.39
_0133_,18.32
_0129_,18.24
_0358_,18.21
_0144_,18.18
_0201_,18.16
net58,18.14
_0084_,18.12
_0359_,18.12
_0505_,18.12
_0424_,18.06
_0519_,18.06
_0217_,18.02
_0763_,17.88
_0205_,17.835
_0551_,17.82
_0469_,17.78
_0408_,17.74
_0471_,17.74
_0724_,17.71
_0432_,17.7
_0045_,17.56
_0115_,17.44
_0179_,17.44
_0309_,17.285
_0580_,17.22
_0617_,17.19
_0107_,17.12
net46,17
_0468_,16.985
_0531_,16.93
_0032_,16.8
_0716_,16.8
_0243_,16.78
_0083_,16.7
_0307_,16.7
_0605_,16.665
_0048_,16.62
_0744_,16.48
_0058_,16.46
_0514_,16.26
_0704_,16.2
_0017_,16.14
_0101_,16.12
_0162_,16.08
_0811_,16.04
_0228_,15.96
_0308_,15.9
_0645_,15.88
_0216_,15.715
_0188_,15.7
_0752_,15.68
_0517_,15.64
_0110_,15.54
_0698_,15.48
net66,15.42
_0154_,15.4
_0457_,15.205
net67,15.2
_0756_,15.16
_0173_,15.06
_0497_,15.02
_0591_,14.98
_0206_,14.94
_0273_,14.94
net89,14.94
_0190_,14.92
_0121_,14.88
_0392_,14.88
_0649_,14.865
_0356_,14.82
data_out[0],14.82
_0297_,14.8
_0741_,14.78
_0450_,14.72
_0141_,14.68
_0333_,14.68
_0263_,14.65
_0318_,14.56
scale[3],14.56
net54,14.54
_0436_,14.52
_0218_,14.46
_0366_,14.32
_0316_,14.305
_0769_,14.3
_0125_,14.23
_0688_,14.22
_0019_,14.2
_0463_,14.18
_0523_,14.09
_0407_,14.06
_0332_,14
_0446_,13.96
_0670_,13.96
_0185_,13.88
_0607_,13.88
_0223_,13.84
_0265_,13.84
_0035_,13.82
_0232_,13.82
_0284_,13.82
_0258_,13.76
_0675_,13.73
_0725_,13.68
_0372_,13.62
_0072_,13.6
_0678_,13.58
_0253_,13.52
_0331_,13.42
_0644_,13.42
_0646_,13.42
_0684_,13.42
_0554_,13.36
_0080_,13.28
_0743_,13.28
_0152_,13.22
_0661_,13.19
_0116_,13.18
_0093_,13.11
_0429_,13.08
_0674_,13.06
_0518_,13.02
_0611_,13.02
_0145_,12.98
_0233_,12.98
_0012_,12.97
_0572_,12.96
_0313_,12.84
scale[1],12.84
_0606_,12.82
_0255_,12.8
_0804_,12.76
net60,12.7
_0638_,12.68
_0588_,12.64
_0398_,12.56
_0524_,12.56
_0241_,12.54
net51,12.52
_0609_,12.5
_0065_,12.48
_0088_,12.48
_0657_,12.44
_0569_,12.38
_0413_,12.36
_0490_,12.36
_0301_,12.34
_0400_,12.34
_0708_,12.3
_0691_,12.26
_0046_,12.2
_0198_,12.16
_0073_,12.12
net40,12.12
_0441_,12.115
_0553_,12.1
data_in[7],12.09
net78,12.08
_0433_,12.04
_0131_,12.02
_0727_,12.02
_0745_,12.02
_0750_,12.02
_0296_,11.99
_0089_,11.98
_0016_,11.92
_0636_,11.915
_0427_,11.9
_0416_,11.88
_0291_,11.84
_0656_,11.82
_0504_,11.79
_0315_,11.76
valid_in,11.75
_0114_,11.74
_0132_,11.71
_0020_,11.68
_0614_,11.64
_0319_,11.62
_0813_,11.52
_0180_,11.47
_0229_,11.44
_0176_,11.4
_0650_,11.39
_0439_,11.38
_0227_,11.37
_0214_,11.34
_0414_,11.34
_0247_,11.32
_0167_,11.3
_0023_,11.28
_0422_,11.28
_0196_,11.26
data_out[6],11.24
_0106_,11.2
_0271_,11.2
_0323_,11.18
_0792_,11.165
_0751_,11.16
_0415_,11.14
_0195_,11.1
data_in[15],11.02
_0367_,11
_0261_,10.98
_0134_,10.96
_0715_,10.92
_0746_,10.88
data_in[14],10.88
_0787_,10.86
_0207_,10.82
_0566_,10.81
_0295_,10.8
_0660_,10.8
_0690_,10.8
data_in[4],10.76
_0304_,10.74
_0633_,10.74
