net,length_um
net5,157.9
_170_,156.29
net6,151.82
net4,145.02
net7,128.1
_202_,126.12
net37,125.43
_168_,114.22
_173_,105.575
_171_,105.56
net11,104.59
_172_,102.09
net8,98.56
net1,97.5
_176_,97.06
net10,94.7
net13,93.78
_204_,90.96
net22,90.205
net12,85.4
clknet_1_0__leaf_clk,79.12
net18,71.12
_208_,67.31
_203_,66.24
net19,65.32
_206_,64.4
_205_,61.58
net16,59.32
net17,54.46
net21,53.14
clknet_1_1__leaf_clk,51.2
net3,50.18
_138_,48.26
net9,47.78
net26,47.74
net31,41.62
clk,41.1
_014_,37
_169_,36.1
_100_,36.06
_103_,34.89
net15,34.6
net30,33.14
_152_,32.9
net25,32
net33,31.34
net20,31
net24,29.94
_075_,28.9
_091_,27.7
_074_,27.6
_086_,26.64
clknet_0_clk,24.155
_025_,23.82
net14,22.84
net32,21.8
_061_,21.42
_015_,20.86
_174_,20.2
_027_,19.86
_126_,19.74
_158_,19.74
_041_,19.2
net35,19.16
is_outlier,19.09
net2,18.82
_050_,18.76
data_in[6],18.72
threshold[3],18.68
_078_,18.58
_141_,18.52
_106_,18.26
net28,18.16
_088_,17.38
_109_,17.34
_142_,17.26
_095_,17.16
_077_,17.03
_104_,16.78
net34,16.78
_217_,16.66
_116_,16.6
_182_,16.42
_195_,16.22
_218_,16
_213_,15.96
_121_,15.94
_087_,15.9
_038_,15.78
scale[2],15.62
_082_,15.22
scale[1],15.16
_063_,15.05
_055_,15.04
_092_,15
_039_,14.88
_096_,14.86
_155_,14.78
_105_,14.72
_113_,14.7
_122_,13.96
_068_,13.84
_179_,13.6
_136_,13.5
_022_,13.36
_060_,13.24
_046_,13.22
_020_,12.99
_129_,12.92
_067_,12.8
_013_,12.75
_211_,12.7
_099_,12.68
_188_,12.68
_119_,12.62
_026_,12.58
_043_,12.5
_064_,12.5
_132_,12.38
scale[3],12.21
_207_,12.2
_114_,11.92
net29,11.92
_052_,11.9
_117_,11.78
_056_,11.76
_107_,11.76
_081_,11.72
_139_,11.58
_210_,11.54
_108_,11.42
_042_,11.4
_030_,11.375
_187_,11.2
_069_,11.1
_149_,11
_144_,10.92
_033_,10.79
_035_,10.77
_083_,10.66
_110_,10.36
_146_,10.36
_031_,10.24
_079_,10.24
_151_,9.96
_130_,9.94
_084_,9.92
_118_,9.9
sideband_out[5],9.76
_214_,9.7
data_in[2],9.64
threshold[6],9.64
_197_,9.5
_049_,9.48
threshold[2],9.41
_080_,9.34
_034_,9.3
_097_,9.3
data_in[7],9.3
_073_,9.24
_216_,9.14
_094_,9.12
int4_out[2],8.96
sideband_out[3],8.96
data_in[3],8.84
data_in[4],8.84
_059_,8.82
_029_,8.76
data_in[5],8.72
threshold[1],8.72
threshold[4],8.72
threshold[5],8.72
_001_,8.64
net23,8.64
net36,8.62
valid_in,8.49
_066_,8.46
_124_,8.46
net27,8.34
_070_,8.22
_028_,8.15
net47,8.14
_057_,8.12
_093_,8.12
_127_,8.1
_018_,7.78
_048_,7.685
_166_,7.64
_177_,7.64
sideband_out[0],7.58
sideband_out[2],7.58
sideband_out[6],7.58
_044_,7.54
_047_,7.45
_089_,7.44
_145_,7.36
_112_,7.34
_098_,7.2
_137_,7.18
_157_,7.18
_017_,7.1
net43,7.1
_045_,7.06
_200_,7.06
_011_,6.76
_054_,6.74
_062_,6.64
_120_,6.6
scale[0],6.55
_128_,6.5
net44,6.5
_065_,6.4
_193_,6.4
net48,6.4
_209_,6.36
int4_out[0],6.31
_012_,6.26
_133_,6.26
_019_,6.24
valid_out,6.21
_154_,6.2
_053_,6.18
_159_,6.04
sideband_out[4],5.87
_156_,5.84
_072_,5.72
_178_,5.72
_196_,5.72
_175_,5.7
_165_,5.68
int4_out[1],5.53
sideband_out[1],5.53
net41,5.52
_071_,5.49
_123_,5.4
net50,5.4
_131_,5.34
_164_,5.34
threshold[7],5.29
_024_,5.28
_076_,5.26
_190_,5.26
rst_n,5.19
_090_,5.16
int4_out[3],5.07
threshold[0],5.07
_150_,5.04
_134_,5.02
data_in[1],4.95
_021_,4.94
_101_,4.94
_036_,4.92
_058_,4.92
_160_,4.88
_143_,4.76
data_in[0],4.73
_194_,4.68
_003_,4.46
_148_,4.36
_184_,4.36
_032_,4.24
_185_,4.12
_005_,4
_125_,4
net49,4
sideband_out[7],3.93
_115_,3.88
_191_,3.88
_199_,3.88
_002_,3.76
_212_,3.54
_102_,3.52
_180_,3.42
_004_,3.2
_111_,3.2
_006_,3.08
_051_,3.08
_186_,3.08
_198_,3.08
_016_,2.96
_040_,2.76
_140_,2.76
_153_,2.76
net42,2.64
_215_,2.52
_181_,2.5
_201_,2.5
_023_,2.3
_010_,2.28
_007_,2.16
_009_,2.16
_167_,2.16
net39,2.16
_037_,2.04
_183_,2.04
_192_,2.04
_135_,1.84
net38,1.84
_000_,1.82
_008_,1.82
_147_,1.72
net45,1.72
_162_,1.38
net40,1.38
net46,1.38
_085_,1.14
_161_,0.92
_163_,0.92
_189_,0.92
