net,length_um
_36147_,888.635
_14817_,888.425
_20442_,888.39
_27141_,887.24
_36556_,887.15
_13946_,887.02
net210,886.36
_09941_,886.19
_18721_,884.45
_14780_,884.29
net239,882.86
_20974_,882.18
net130,880.7
_18323_,880.4
_18520_,880.26
net149,879.4
_19149_,878.57
_14182_,878.08
_11796_,877.13
_16421_,876.535
net243,876.52
net234,875.46
_11847_,874.08
net121,872.68
_22224_,871.54
_15652_,871.08
_35829_,870.55
_18025_,868.66
net26,868.425
_19111_,868.335
_36145_,867.715
net129,867.12
_16643_,867.07
_19792_,866.66
_11731_,866.535
net233,865.51
_18528_,865.38
_20441_,865.24
net21,864.57
_14340_,863.925
_11802_,863.84
_23478_,863.13
_14470_,863.03
_35959_,862.975
_18325_,861.82
_36866_,858.84
_15307_,858.23
net22,857.58
_14811_,857.3
net60,856.735
net117,856.68
_11823_,856.63
_11768_,856.08
_18425_,854.43
_38664_,853.545
_18331_,852.8
_36485_,852.3
_16088_,851.86
_36928_,851.82
net240,851.62
_20418_,851.335
net13,850.375
_14825_,850.18
_11804_,849.305
net148,848.12
_11752_,848.02
_11770_,847.9
_19248_,846.995
_18618_,846.1
_14813_,845.27
net195,844.66
_36176_,843.87
_37199_,843.7
_18719_,843.33
_18129_,842.4
_36342_,841.925
_19193_,841.87
net249,841.34
_23042_,840.16
_14103_,839.2
_14795_,838.99
_35919_,838.76
_11826_,838.66
_18429_,837.16
_18121_,837.1
_19130_,837.035
_36735_,836.77
_19113_,836.76
_07544_,836.53
_14975_,835.95
_18729_,835.1
_36730_,834.86
_18727_,834.82
_11789_,833.9
net184,832.76
_18723_,832.17
_21126_,831.49
net7,831.45
_22118_,830.66
_20950_,830.035
_36301_,829.885
_37195_,829.77
_10062_,828.66
_36282_,828.5
_18526_,828
_14541_,825.73
_11879_,824.85
_18515_,824.3
_18518_,823.9
_18421_,823.25
_21127_,821.57
_19156_,821.33
net191,821.02
_36038_,820.96
_37100_,820.21
_11774_,818.95
net175,818.8
_07531_,818.37
_36001_,817.89
_10035_,817.38
_18319_,817.35
_36718_,816.43
_36458_,816.17
_18616_,815.51
_20578_,815.38
net209,814.53
_19098_,814.405
_37993_,814.15
net236,813.99
_19516_,813.68
net242,813.32
_19087_,812.57
_11816_,812.16
_21186_,811.865
_09914_,811.57
_08921_,811.285
_36337_,810.745
_36308_,810.41
_16532_,808.44
_14648_,807.805
_11828_,806.95
_21125_,806.59
_36310_,806.58
_20382_,806.5
_14530_,806.44
net75,806.41
_18329_,806.02
net12,805.84
_36274_,805.65
_19175_,805.55
net167,805.46
_18427_,805.02
_18031_,804.68
_19146_,803.29
_18119_,802.47
_18316_,802.185
_08920_,799.645
_19116_,799.18
_18016_,799.1
_23218_,799.06
_18327_,798.66
_13705_,798.58
_21185_,798.13
net247,797.78
_18028_,797.56
_22275_,797.44
_36134_,796.715
_36651_,796.41
net114,796.28
_07545_,794.305
_09945_,793.27
net218,792.34
_18626_,791.69
_09965_,791.29
_11733_,790.6
_36812_,789.605
_36798_,789.43
_09084_,789.375
_18009_,787.755
net133,787.31
_11735_,787.06
net182,786.8
_19408_,786.525
_26562_,785.7
_14024_,785.62
_19151_,785.295
net248,784.03
_36511_,783.64
_36050_,783.39
_19127_,783.145
_19144_,783.03
_19398_,782.59
_35912_,782.075
net139,781.97
_36688_,781.915
_20951_,781.43
_22132_,781.14
_14973_,779.81
_11756_,779.77
_10624_,779.67
_15507_,779.51
_36030_,779.51
net197,779.32
_18822_,778.54
_19147_,778.39
net6,778.34
_26985_,776.93
_36330_,776.58
_19117_,776.5
_18013_,775.18
_18622_,774.71
_14819_,773.5
net39,772.7
_14821_,772.615
_36689_,771.495
_20949_,770.69
net206,767.76
_19333_,766.91
_18321_,766.83
_36351_,763.985
_37834_,763.32
_14726_,762.335
_14676_,762.07
_14619_,761.545
_14823_,759.35
_13786_,759.27
_11856_,758.82
_36717_,757.66
_35927_,757.58
_18419_,757.47
_22206_,757.255
_35886_,756.95
_11877_,756.76
_36063_,754.96
_10060_,754.86
_21021_,754.86
net46,754.78
_09967_,754.15
_11793_,753.21
_19362_,753.02
_18714_,751.22
net225,751.08
_36046_,750.905
_20991_,750.76
_11860_,750.64
_10026_,749.98
_23500_,749.21
_11264_,749.07
_36431_,748.73
_36120_,748.535
_18127_,748.49
_19124_,747.35
net61,746.905
_19176_,746.77
_11875_,746.56
_37182_,746.25
_36162_,745.57
_19177_,745.25
_09092_,745.245
_19222_,744.15
net211,743.61
_13382_,743.35
clknet_3_0_0_clk,742.97
_14617_,742.12
_23736_,741.775
net108,741.39
net156,741.06
_18725_,739.815
_09096_,739.61
_18717_,738.82
_11737_,738.8
_19152_,738.52
_11266_,738.41
_15509_,737.9
_14755_,737.725
_16865_,737.525
_23134_,737.265
_11871_,735.88
_23501_,735.48
net738,735.38
_22299_,735
_18123_,734.74
_36560_,734.41
_35929_,733.98
_36569_,733.965
_19174_,731.93
_25828_,731.9
net146,731.5
_10024_,731.46
net40,731.31
_11776_,730.72
_36726_,729.84
_29528_,729.4
_11849_,728.845
_36335_,728.29
_11762_,728.08
_36143_,727.585
_18624_,727.05
_19099_,726.64
_18423_,725.51
_19249_,725.36
_10945_,725.34
_36484_,723.665
_20992_,723.46
_10037_,722.27
_36437_,722.23
_36610_,722.2
_13867_,721.94
_36294_,721.17
_36666_,721.17
_36559_,720.96
_20440_,720.885
_35887_,720.495
_11791_,720.17
_11851_,719.44
_36454_,718.92
_14724_,718.85
net59,718.08
_14725_,718.025
net65,716.65
_14616_,716.63
_36198_,715.365
_36777_,715.045
_35879_,713.88
_19137_,713.805
_35883_,713.75
_08922_,713.72
_09086_,713.39
_11784_,712.06
_38216_,711.8
_36733_,711.68
_22323_,711.455
_19405_,711.39
_19314_,711.26
_17087_,711.04
_36724_,710.96
net164,710.89
_14674_,710.72
_36523_,710.68
_08914_,709.44
_35991_,709.345
_22113_,709.1
_11782_,708.4
_11778_,708.22
_11780_,708.08
_36760_,708.01
_36181_,707.905
net256,707.66
_13381_,707.15
_39151_,706.52
net252,706.43
net212,706.01
_19291_,705.87
_08200_,705.63
_36307_,705.01
_36856_,704.085
net207,703.18
_25923_,702.76
net216,702.76
_19289_,702.41
_14939_,702.2
_10050_,701.64
_23641_,701.385
_37017_,701.32
_36131_,701.23
_10147_,701.18
_08218_,700.865
_37351_,700.83
net76,700.1
_36316_,700.07
_36188_,699.59
_08908_,698.585
net326,696.34
_21026_,696.32
net173,695.92
net25,695.72
_21151_,695.315
_35988_,694.97
_14618_,693.67
clknet_3_6_0_clk,693.33
_36395_,693.315
_19136_,692.94
_16199_,692.925
net230,692.36
_35937_,691.63
_19110_,691.36
_08428_,691.29
_36285_,691.29
_36826_,690.07
_36119_,689.16
clknet_3_1_0_clk,688.63
_36286_,688.47
_14647_,687.92
net119,687.62
net80,687.06
_11841_,686.51
_10093_,685.92
_36196_,685.77
_11754_,684.94
net43,684.88
_19090_,684.45
_36587_,684.4
_18306_,682.36
_22168_,682.29
net147,682.28
_18818_,682.15
net158,682.06
_18117_,682.05
_08205_,681.805
_19793_,681.5
_18417_,680.23
_18114_,680.13
_09088_,679.91
_22175_,679.78
_08629_,679.66
_18824_,679.36
_36169_,679.33
_19194_,678.97
_36253_,678.68
_08345_,678.18
_11760_,677.92
net49,677.75
_10046_,677.54
_36327_,677.275
_36472_,677.1
_08910_,676.055
_08890_,676.045
_36835_,675.85
clknet_3_2_0_clk,675.66
_11830_,675.65
_18222_,675.52
net92,675.21
_08907_,674.9
_26528_,673.88
_37212_,673.6
_37045_,673.165
_19410_,672.08
_36296_,671.74
_08891_,670.975
_36268_,670.285
_36029_,670.24
_37170_,670.09
_10153_,670.02
_39275_,668.46
_10052_,668.21
_18920_,667.99
_36427_,667.39
_19407_,667.07
_36659_,666.98
_10081_,666.54
_18815_,665.64
net140,665.34
net27,664.39
_36146_,664.04
_36847_,663.55
_21192_,663.29
_36135_,663.02
_11787_,662.78
_19155_,662.61
_18918_,662.12
_36628_,661.8
net789,661.69
net818,661.155
_20996_,660.93
net257,659.04
net159,658.39
_36834_,658.19
_36591_,657.565
net48,657.53
_08912_,657.265
_22138_,657.17
_08913_,656.97
_08915_,656.91
_11272_,656.43
_18613_,656.39
_19138_,656.15
_36660_,655.865
_11739_,655.58
_36531_,655.15
_10039_,654.995
_18828_,654.25
net141,654.22
_18820_,654.2
_19107_,653.03
_10041_,652.36
_10016_,651.51
_19108_,651.16
_36774_,651.075
_08919_,650.73
_10002_,650.53
_18414_,650.18
_18228_,650
_11863_,649.88
_19515_,649.38
_23477_,648.935
_19135_,648.495
_22251_,648.03
_17904_,647.87
_14615_,647.75
net3,647.58
_36164_,646.71
clk,646.18
_25733_,645.375
_20937_,644.43
_13623_,644.32
_11257_,644.1
_18230_,643.79
_19104_,643.79
_18632_,643.72
clknet_0_clk,643.69
_35932_,643.47
_37576_,643.34
_35821_,643.2
net55,642.66
_11831_,642.6
_20997_,641.855
_36250_,641.52
_08316_,641.42
_18125_,641.33
_12004_,641.15
clknet_3_4_0_clk,641.095
_19830_,641.085
net14,641.02
_36845_,640.355
_11758_,640.33
_10151_,639.365
_35223_,638.87
_19145_,638.25
_19244_,638.24
_18928_,638
_18830_,637.98
net198,637.39
_37606_,637.05
_36355_,636.7
_09814_,636.265
_35920_,635.95
_36418_,635.69
_10043_,635.43
_20804_,635.34
_18469_,635.06
_10129_,634.96
_10010_,634.42
_19226_,634.11
_19192_,634.02
net261,632.73
_14645_,632.59
_17898_,632.5
_08916_,632.17
_23304_,631.32
_21022_,631.1
_17933_,630.88
_10077_,630.45
_07549_,630.18
net196,630.15
_17980_,629.59
_21025_,629.44
_37575_,628.81
_18215_,628.06
net208,627.68
_36126_,627.01
_36662_,626.76
_08195_,626.5
net1,626.1
_36604_,626.07
_18926_,625.24
_11508_,624.3
_26327_,624.12
_35830_,624.03
_30256_,623.855
net150,623.58
_36125_,622.395
_22153_,622.19
_11937_,621.21
_20936_,621.13
_17877_,620.14
_36792_,619.89
_36779_,619.41
_10938_,619.08
_36669_,619.08
_11500_,618.675
_18916_,618.44
_11502_,618.22
_11276_,617.52
net815,617.5
_36534_,617.37
_36576_,617.14
_11867_,616.075
_36051_,615.86
_11268_,614.37
_36535_,614.33
_10145_,613.64
net221,613.55
_39048_,612.76
clknet_3_3_0_clk,612.45
net42,611.44
_19403_,611.05
net153,611
_36844_,610.95
_22180_,610.9
_35953_,610.31
_39021_,610.015
clknet_3_5_0_clk,609.96
_10079_,609.175
_16311_,608.72
_36413_,608.31
_36404_,608.29
_38910_,608.27
_13541_,608.18
_36708_,608
_37142_,607.69
_11902_,606.94
_12052_,606.79
_20998_,606.5
_19391_,605.18
_36070_,605.03
_19134_,604.52
net58,604.33
_14753_,604.24
net123,604.23
_08189_,603.76
_37141_,603.58
_11922_,603.52
_36989_,603.395
net199,603.27
_09100_,603.13
_19132_,602.915
_36116_,602.17
_18218_,600.94
_09098_,600.93
_18922_,600.615
_19173_,600.24
_23900_,599.85
_26292_,599.59
_36650_,598.9
_35992_,598.2
net192,596.77
net804,596.43
_10143_,596.33
_36312_,594.75
_19246_,594.52
_07548_,594.02
_36406_,593.14
_11717_,592.78
_16477_,592.33
_36279_,591.36
_11854_,591.21
_11498_,590.11
_22124_,589.9
